# Size ExpectedDensity IndexOfInstance timeLCL DensityLCL timeGreedy DensityGreedy
100 0.01 0 7 159 19 125
100 0.01 1 3 169 9 137
100 0.01 2 2 181 9 141
100 0.01 3 2 166 8 143
100 0.01 4 2 141 5 125
100 0.01 5 1 139 6 149
100 0.01 6 2 147 5 131
100 0.01 7 1 167 5 137
100 0.01 8 0 164 5 160
100 0.01 9 1 159 5 144
100 0.01 10 1 135 2 119
100 0.01 11 0 175 3 118
100 0.01 12 0 127 2 133
100 0.01 13 0 167 2 114
100 0.01 14 0 170 3 142
100 0.01 15 1 180 2 110
100 0.01 16 0 184 2 133
100 0.01 17 1 145 1 104
100 0.01 18 1 152 1 146
100 0.01 19 0 158 2 146
100 0.01 20 0 135 2 121
100 0.01 21 0 164 2 128
100 0.01 22 0 169 3 135
100 0.01 23 0 147 2 137
100 0.01 24 1 176 2 135
100 0.01 25 1 156 1 135
100 0.01 26 1 175 1 138
100 0.01 27 1 149 1 129
100 0.01 28 0 143 1 111
100 0.01 29 1 149 1 106
100 0.01 30 0 157 2 137
100 0.01 31 0 140 2 122
100 0.01 32 1 138 2 129
100 0.01 33 1 173 1 136
100 0.01 34 0 150 3 129
100 0.01 35 0 160 1 122
100 0.01 36 1 167 2 149
100 0.01 37 1 197 2 108
100 0.01 38 0 148 2 135
100 0.01 39 0 175 2 147
100 0.01 40 1 137 2 119
100 0.01 41 0 149 2 134
100 0.01 42 0 149 1 129
100 0.01 43 0 131 1 118
100 0.01 44 0 183 2 163
100 0.01 45 0 187 2 146
100 0.01 46 0 166 2 113
100 0.01 47 0 163 2 139
100 0.01 48 0 150 2 136
100 0.01 49 1 164 2 143
100 0.01 50 0 144 2 115
100 0.02 0 0 295 4 233
100 0.02 1 0 222 3 202
100 0.02 2 0 268 5 232
100 0.02 3 0 230 4 233
100 0.02 4 0 242 3 241
100 0.02 5 1 294 4 260
100 0.02 6 0 259 5 220
100 0.02 7 0 264 5 225
100 0.02 8 1 245 8 225
100 0.02 9 0 235 5 241
100 0.02 10 0 258 5 221
100 0.02 11 1 277 5 224
100 0.02 12 0 265 4 203
100 0.02 13 1 233 3 238
100 0.02 14 0 246 3 224
100 0.02 15 1 256 4 210
100 0.02 16 0 223 5 204
100 0.02 17 0 203 3 179
100 0.02 18 0 234 2 216
100 0.02 19 0 231 4 200
100 0.02 20 1 271 4 239
100 0.02 21 1 249 5 257
100 0.02 22 0 268 5 250
100 0.02 23 1 274 4 227
100 0.02 24 0 220 4 252
100 0.02 25 0 248 6 248
100 0.02 26 0 257 4 205
100 0.02 27 0 254 3 208
100 0.02 28 0 219 3 219
100 0.02 29 0 276 3 279
100 0.02 30 0 286 4 222
100 0.02 31 0 257 4 253
100 0.02 32 0 248 4 232
100 0.02 33 0 259 3 217
100 0.02 34 0 283 3 224
100 0.02 35 1 249 2 224
100 0.02 36 0 248 2 247
100 0.02 37 0 278 3 216
100 0.02 38 0 281 3 213
100 0.02 39 0 241 3 242
100 0.02 40 1 268 3 196
100 0.02 41 0 309 3 243
100 0.02 42 1 293 5 273
100 0.02 43 0 250 3 195
100 0.02 44 1 254 3 233
100 0.02 45 0 244 5 195
100 0.02 46 0 260 4 230
100 0.02 47 1 237 5 204
100 0.02 48 0 231 5 222
100 0.02 49 0 274 4 225
100 0.02 50 0 246 5 254
100 0.03 0 0 349 6 290
100 0.03 1 0 330 5 316
100 0.03 2 1 339 3 315
100 0.03 3 0 308 4 254
100 0.03 4 0 364 3 311
100 0.03 5 1 344 3 270
100 0.03 6 0 289 4 286
100 0.03 7 0 339 3 308
100 0.03 8 1 340 3 321
100 0.03 9 0 287 4 278
100 0.03 10 0 335 3 344
100 0.03 11 0 347 3 277
100 0.03 12 1 323 2 324
100 0.03 13 0 330 3 324
100 0.03 14 1 326 3 299
100 0.03 15 0 309 3 346
100 0.03 16 1 358 3 330
100 0.03 17 1 356 3 361
100 0.03 18 1 327 3 286
100 0.03 19 0 314 3 279
100 0.03 20 0 341 3 313
100 0.03 21 0 416 3 338
100 0.03 22 0 343 3 288
100 0.03 23 0 324 4 314
100 0.03 24 0 341 3 286
100 0.03 25 0 337 3 306
100 0.03 26 0 289 4 284
100 0.03 27 0 327 3 296
100 0.03 28 0 329 3 301
100 0.03 29 0 323 3 339
100 0.03 30 1 362 3 321
100 0.03 31 0 340 3 257
100 0.03 32 1 279 2 249
100 0.03 33 0 348 3 314
100 0.03 34 0 366 3 315
100 0.03 35 0 349 3 308
100 0.03 36 1 338 2 278
100 0.03 37 0 353 3 299
100 0.03 38 0 323 4 326
100 0.03 39 0 338 3 316
100 0.03 40 0 342 3 291
100 0.03 41 0 360 4 350
100 0.03 42 0 350 3 284
100 0.03 43 0 309 3 277
100 0.03 44 0 328 4 299
100 0.03 45 1 396 3 327
100 0.03 46 0 308 3 278
100 0.03 47 1 347 3 329
100 0.03 48 1 311 3 290
100 0.03 49 0 285 3 284
100 0.03 50 0 294 3 309
100 0.04 0 0 441 4 402
100 0.04 1 0 375 5 388
100 0.04 2 1 392 6 360
100 0.04 3 0 429 6 398
